NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,NODE_NO,NODE_SIZE,MATERIAL,INVERT,RIM_ELEVATION,I_I_SOURCE,I_I_QUANTITY,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,INSTALL_DATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ENABLED,ANCILLARYROLE,Latitude,Longitude
2,Riser Pocket,1000074825,27559,1227010864,150,PVC Plastic,-0.11,,,,In Service,C-4122,1995,Surrey,,LINE BSW-K,,,,,,,,20051030,,1,0,49.199634,-122.881602
2,Riser Pocket,1000074826,27560,1227010863,150,PVC Plastic,-0.11,,,,In Service,C-4122,1995,Surrey,,LINE BSW-J,,,,,,,,20051030,,1,0,49.199634,-122.881602
2,Riser Pocket,1000074827,27580,1231510831,75,PVC Plastic,0.65,,,,In Service,4516,1978,Surrey,,LINE BSW-J,,,,,,,,20051101,,1,0,49.199054,-122.880358
2,Riser Pocket,1000074828,27581,1233810813,75,PVC Plastic,0.67,,,,In Service,4516,1978,Surrey,,LINE BSW-J,,,,,,,,20051101,,1,0,49.198717,-122.879716
2,Riser Pocket,1000074886,27317,1187010654,100,PVC Plastic,0.48,,,,Abandoned,4516,1978,Surrey,,LINE BSW-B,,,,,,,,20051025,20081121,0,0,49.195834,-122.892641
2,Riser Pocket,1000074887,27318,1184710672,150,PVC Plastic,0.43,,,,In Service,4516,1978,Surrey,,,,,,,,,,20051025,,1,0,49.196176,-122.893277
2,Riser Pocket,1000074872,27195,1196210511,100,PVC Plastic,0.63,,,,In Service,4516,1987,Surrey,,,,,,,,,,20051005,,1,0,49.193264,-122.890098
2,Riser Pocket,1000074873,27196,1197010520,150,PVC Plastic,0.63,,,,In Service,4516,1987,Surrey,,,,,,,,,,20051005,,1,0,49.193423,-122.889903
2,Riser Pocket,1000074874,27197,1198810543,150,PVC Plastic,0.63,,,,In Service,4516,1987,Surrey,,,,,,,,,,20051005,,1,0,49.193845,-122.889385
2,Riser Pocket,1000074875,27306,1196610588,150,PVC Plastic,0.4,,,,In Service,4516,1978,Surrey,,,,,,,,,,20051025,,1,0,49.194666,-122.890002
2,Riser Pocket,1000074876,27307,1196610589,150,PVC Plastic,0.4,,,,In Service,4516,1978,Surrey,,LINE BSW-B,,,,,,,,20051025,,1,0,49.194664,-122.889999
2,Riser Pocket,1000074959,27447,1212310706,100,PVC Plastic,0.59,,,,In Service,4516,1978,Surrey,,LINE BSW-E,,,,,,,,20051027,,1,0,49.196771,-122.885668
2,Riser Pocket,1000074971,27476,1220410854,150,PVC Plastic,0.68,,,,In Service,S-757,1995,Surrey,,LINE BSW-E SEE ALSO S-010-079,,,,,,,,20051028,,1,0,49.199449,-122.883410
2,Riser Pocket,1000074972,27477,1219710858,100,PVC Plastic,0.4,,,,In Service,S-537,1986,Surrey,,LINE BSW-E SEE ALSO S-010-079,,,,,,,,20051028,,1,0,49.199547,-122.883607
2,Riser Pocket,1000074543,28010,1254711282,100,PVC Plastic,0.69,,,,In Service,4515,1977,Surrey,,LINE BW-G,,,,,,,,20051121,,1,0,49.207209,-122.873928
2,Riser Pocket,1000074544,28011,1257011283,100,PVC Plastic,0.69,,,,In Service,4515,1977,Surrey,,LINE BW-G  SEE ALSO S-000-016,,,,,,,,20051121,,1,0,49.207211,-122.873290
2,Riser Pocket,1000074545,28013,1260111283,100,PVC Plastic,0.84,,,,In Service,4515,1977,Surrey,,LINE BW-G,,,,,,,,20051121,,1,0,49.207214,-122.872443
2,Riser Pocket,1000074546,28014,1263111283,100,PVC Plastic,0.79,,,,In Service,4515,1977,Surrey,,LINE BW-G,,,,,,,,20051121,,1,0,49.207217,-122.871596
2,Riser Pocket,1000074547,28015,1265311283,100,PVC Plastic,0.52,,,,In Service,4515,1977,Surrey,,LINE BW-G,,,,,,,,20051121,,1,0,49.207219,-122.871000
2,Riser Pocket,1000074548,28016,1253311284,100,PVC Plastic,0.39,,,,In Service,4515,1977,Surrey,,LINE BW-G,,,,,,,,20051121,,1,0,49.207233,-122.874309
2,Riser Pocket,1000074549,28017,1253311313,150,PVC Plastic,0.39,,,,In Service,4515,1977,Surrey,,LINE BW-G,,,,,,,,20051121,,1,0,49.207768,-122.874314
2,Riser Pocket,1000074901,27334,1190810635,150,PVC Plastic,0.56,,,,Abandoned,4516,1978,Surrey,,,,,,,,,,20051025,20091127,0,0,49.195495,-122.891607
2,Riser Pocket,1000074902,27335,1190710634,150,PVC Plastic,0.56,,,,Abandoned,4516,1978,Surrey,,,,,,,,,,20051025,20091127,0,0,49.195491,-122.891612
2,Riser Pocket,1000074897,27329,1188410653,100,PVC Plastic,0.43,,,,Abandoned,4516,1978,Surrey,,LINE BSW-B,,,,,,,,20051025,20091127,0,0,49.195833,-122.892249
2,Riser Pocket,1000074898,27330,1188410654,150,PVC Plastic,0.38,,,,Abandoned,4516,1978,Surrey,,,,,,,,,,20051025,20091127,0,0,49.195833,-122.892249
2,Riser Pocket,1000074899,27331,1188410652,150,PVC Plastic,0.38,,,,Abandoned,4516,1978,Surrey,,,,,,,,,,20051025,20091127,0,0,49.195829,-122.892254
2,Riser Pocket,1000074894,27326,1186210671,150,PVC Plastic,0.38,,,,Abandoned,4516,1978,Surrey,,,,,,,,,,20051025,20091127,0,0,49.196169,-122.892879
2,Riser Pocket,1000074895,27327,1186210672,150,PVC Plastic,0.38,,,,Abandoned,4516,1978,Surrey,,,,,,,,,,20051025,20091127,0,0,49.196171,-122.892876
2,Riser Pocket,1000074896,27328,1186210674,100,PVC Plastic,0.43,,,,Abandoned,4516,1978,Surrey,,LINE BSW-B,,,,,,,,20051025,20091127,0,0,49.196171,-122.892876
2,Riser Pocket,1000075037,27725,1279411625,75,PVC Plastic,0.37,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20091221,0,0,49.213392,-122.867097
2,Riser Pocket,1000075038,27726,1282011624,75,PVC Plastic,0.61,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20091221,0,0,49.213379,-122.866357
2,Riser Pocket,1000075067,27728,1284911625,75,PVC Plastic,0.61,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20091221,0,0,49.213378,-122.865572
2,Riser Pocket,1000075068,27729,1287911624,75,PVC Plastic,0.61,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20091221,0,0,49.213377,-122.864734
2,Riser Pocket,1000075107,27777,1288811625,100,PVC Plastic,0.3,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051108,20091221,0,0,49.213390,-122.864502
2,Riser Pocket,1000075108,27779,1288811605,150,PVC Plastic,0.4,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051108,20091221,0,0,49.213038,-122.864505
2,Riser Pocket,1000075177,28214,1274211580,75,PVC Plastic,0.43,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051129,20110421,1,0,49.212582,-122.868527
