ANCILLARYROLE,ENABLED,FITTING_TYPE,FITTING_TYPE2,FACILITYID,LEGACYID,NODE_NO,FITTING_SIZE,MATERIAL,RIM_ELEVATION,INVERT,DEPTH,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,1,4,Tee,1000302170,8907,1286005342,,,25.3,,,In Service,,1977,Surrey,,,,,,,,,19900116,,49.099975,-122.865545
0,1,4,Tee,1000301747,12705,1760502357,,,81,,,In Service,,1985,Surrey,,,,,,,,,19901031,,49.045763,-122.735120
0,1,4,Tee,1000301755,8986,1320002352,,,86.24,,,In Service,,1974,Surrey,,,,,,,,,19900221,,49.045877,-122.856335
0,1,4,Tee,1000301885,9398,1340002906,,,43.07,,,In Service,,1969,Surrey,,,,,,,,,19900213,,49.055908,-122.850801
0,1,4,Tee,1000301927,9247,1217002707,,,1,,,In Service,,1977,Surrey,,,,,,,,,19900205,,49.052340,-122.884651
,1,4,Tee,1001075898,,1500105954,200,DI,,49.46,,In Service,7806-0181-00,2008,Surrey,,,Final AB,,,,,,20081218,20090218,49.110703,-122.806529
0,1,4,Tee,1000310100,15437,1748605902,150,CAS,,3.9,,In Service,1200-6080-00,2001,Surrey,,,Final AB,,,,,,20020718,20090305,49.109625,-122.738025
0,1,4,Tee,1000312823,488,1282606055,,,96,,,In Service,,1966,Surrey,,,,,,,,,19880914,20090303,49.112611,-122.866484
0,1,4,Tee,1000310788,11596,1348310625,,,79.71,,,In Service,,1970,Surrey,,,,,,,,,19900716,20090113,49.195282,-122.848120
,1,4,Tee,1001083391,,1282606010,250,DI,,,,In Service,,,Surrey,,,Final AB,,,,,,20090303,20090303,49.111786,-122.866484
,1,4,Tee,1001080260,,1892505378,200,DI,,15.86,,In Service,7805-0234-00,2008,Surrey,,,Final AB,,,,,,20090205,20090205,49.100035,-122.698430
