,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,2017
Mo,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,Mo
--,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,--
,,,,,,,,,,,,,,,,,,,,,, TOTAL ,
Locations on this,City Centre,,Cloverdale,,Fleetwood,,Guildford,,Newton,,Ocean Park,,Port Kells,,Semiahmoo,,Strawberry Hill,,ReadAbility,,CS,Jan-18,Locations on this
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Items: Coll. ISta,,,,,,,,,,,,,,,,,,,,,,,Items: Coll. ISta
,,,,,,,,,,,,,,,,,,,,,,,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,-----------------
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t locNI (,,t locNI (,,t locNI (,,t locNI (,,t locNI (,,t locNI (,,t locNI (,,t locNI (,,t locNI (,,t locNI (,,t locNI (, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t rddc (D,,t rddc (D,,t rddc (D,,t rddc (D,,t rddc (D,,t rddc (D,,t rddc (D,,t rddc (D,,t rddc (D,,t rddc (D,,t rddc (D, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,53,,62,,5,,69,,39,,9,,4,,20,,42,,1,,4, 308 ,Generalities
Philosophy & Psyc,17,,3,,3,,29,,1,,2,,0,,9,,22,,0,,0, 86 ,Philosophy & Psyc
Religion,33,,74,,10,,58,,14,,2,,0,,24,,3,,0,,0, 218 ,Religion
Social Sciences,402,,416,,104,,647,,163,,49,,14,,138,,82,,1,,1," 2,017 ",Social Sciences
Languages,80,,19,,22,,20,,19,,10,,0,,28,,2,,0,,0, 200 ,Languages
Science & Mathema,92,,68,,34,,83,,44,,8,,1,,54,,7,,0,,0, 391 ,Science & Mathema
Technology & Medi,537,,135,,77,,584,,133,,43,,11,,73,,72,,0,,0," 1,665 ",Technology & Medi
The Arts / Sports,174,,54,,27,,195,,50,,35,,3,,59,,23,,0,,0, 620 ,The Arts / Sports
Literature,276,,11,,20,,240,,33,,12,,0,,35,,10,,0,,0, 637 ,Literature
Geography & Histo,642,,2922,,111,,299,,107,,36,,7,,85,,30,,0,,2," 4,241 ",Geography & Histo
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,2306,,3764,,413,,2224,,603,,206,,40,,525,,293,,2,,7," 10,383 ",Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t ref (Dy,,t ref (Dy,,t ref (Dy,,t ref (Dy,,t ref (Dy,,t ref (Dy,,t ref (Dy,,t ref (Dy,,t ref (Dy,,t ref (Dy,,t ref (Dy, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t tddc (D,,t tddc (D,,t tddc (D,,t tddc (D,,t tddc (D,,t tddc (D,,t tddc (D,,t tddc (D,,t tddc (D,,t tddc (D,,t tddc (D, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities
Philosophy & Psyc,0,,1,,2,,1,,0,,0,,0,,1,,0,,0,,0, 5 ,Philosophy & Psyc
Religion,0,,0,,0,,0,,1,,0,,0,,0,,2,,0,,0, 3 ,Religion
Social Sciences,0,,1,,0,,0,,0,,0,,0,,2,,0,,0,,0, 3 ,Social Sciences
Languages,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, 2 ,Languages
Science & Mathema,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Science & Mathema
Technology & Medi,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,,0, 3 ,Technology & Medi
The Arts / Sports,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,The Arts / Sports
Literature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Literature
Geography & Histo,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0, 1 ,Geography & Histo
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,2,,2,,3,,1,,4,,0,,0,,3,,2,,0,,0, 17 ,Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t vddc (D,,t vddc (D,,t vddc (D,,t vddc (D,,t vddc (D,,t vddc (D,,t vddc (D,,t vddc (D,,t vddc (D,,t vddc (D,,t vddc (D, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,9,,2,,4,,8,,3,,2,,0,,7,,3,,0,,0, 38 ,Generalities
Computers,14,,9,,6,,11,,11,,5,,3,,5,,6,,0,,0, 70 ,Computers
Journalism,0,,1,,1,,2,,1,,0,,0,,0,,1,,0,,0, 6 ,Journalism
Philosophy,2,,1,,0,,0,,0,,0,,0,,0,,1,,0,,0, 4 ,Philosophy
Paranormal,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Paranormal
Parapsychology,1,,2,,0,,3,,2,,1,,0,,4,,2,,0,,0, 15 ,Parapsychology
Dreams & Mysterie,1,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0, 2 ,Dreams & Mysterie
"Graphology, Physi",1,,0,,0,,1,,0,,0,,0,,1,,0,,0,,0, 3 ,"Graphology, Physi"
Psychology,13,,5,,6,,12,,10,,5,,2,,15,,11,,0,,0, 79 ,Psychology
Applied Psycholog,8,,5,,4,,4,,9,,5,,1,,7,,2,,0,,0, 45 ,Applied Psycholog
Logic Ethics,6,,2,,1,,4,,3,,2,,1,,6,,1,,0,,0, 26 ,Logic Ethics
Oriental Philosop,3,,1,,1,,1,,6,,0,,0,,0,,17,,0,,0, 29 ,Oriental Philosop
Modern Western Ph,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Modern Western Ph
Religion,9,,2,,4,,9,,8,,1,,1,,9,,2,,0,,0, 45 ,Religion
Bible,25,,8,,5,,10,,6,,7,,0,,22,,2,,0,,0, 85 ,Bible
Christianity,27,,10,,19,,19,,22,,8,,2,,17,,11,,0,,0, 135 ,Christianity
Christian Sects,0,,1,,0,,0,,0,,0,,0,,0,,1,,0,,0, 2 ,Christian Sects
Comparative Relig,1,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0, 2 ,Comparative Relig
Major Religions,8,,9,,6,,14,,13,,5,,1,,7,,10,,0,,0, 73 ,Major Religions
Other Religions,1,,2,,1,,1,,1,,1,,0,,5,,1,,0,,0, 13 ,Other Religions
Social Sciences,57,,27,,26,,54,,44,,23,,7,,42,,38,,0,,0, 318 ,Social Sciences
Statistics,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Statistics
Political Science,12,,5,,2,,10,,12,,2,,3,,8,,10,,0,,0, 64 ,Political Science
International Mig,3,,5,,0,,0,,2,,0,,0,,2,,0,,0,,0, 12 ,International Mig
Slavery,1,,0,,0,,1,,1,,0,,0,,0,,0,,0,,0, 3 ,Slavery
International Rel,2,,2,,1,,3,,3,,2,,1,,1,,3,,0,,0, 18 ,International Rel
Legislative Proce,0,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0, 2 ,Legislative Proce
Economics,6,,1,,4,,6,,4,,3,,1,,5,,2,,0,,0, 32 ,Economics
Financial Economi,5,,2,,3,,1,,2,,2,,0,,4,,4,,0,,0, 23 ,Financial Economi
Land Economics,22,,5,,11,,26,,15,,6,,2,,11,,5,,0,,0, 103 ,Land Economics
Cooperatives,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Cooperatives
Socialism,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Socialism
Public Finance,1,,0,,1,,0,,1,,0,,0,,0,,1,,0,,0, 4 ,Public Finance
International Eco,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0, 1 ,International Eco
Production,13,,5,,5,,10,,4,,1,,2,,8,,6,,0,,0, 54 ,Production
Law,4,,1,,1,,3,,4,,0,,1,,3,,4,,0,,0, 21 ,Law
Public Administra,1,,0,,0,,0,,0,,0,,0,,1,,1,,0,,0, 3 ,Public Administra
Military Science,4,,3,,3,,3,,7,,3,,1,,5,,1,,0,,0, 30 ,Military Science
Social Problems &,65,,29,,34,,45,,48,,21,,5,,41,,38,,0,,0, 326 ,Social Problems &
Criminology,19,,8,,6,,13,,19,,8,,4,,17,,13,,0,,0, 107 ,Criminology
"Associations, Clu",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,"Associations, Clu"
Insurance,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Insurance
Misc. Association,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Misc. Association
Education,89,,48,,47,,68,,69,,46,,1,,56,,52,,0,,0, 476 ,Education
Commerce,2,,0,,1,,1,,2,,3,,0,,3,,1,,0,,0, 13 ,Commerce
Communication,1,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0, 2 ,Communication
Transportation,3,,2,,1,,4,,1,,0,,0,,14,,3,,0,,0, 28 ,Transportation
Metrology,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Metrology
Customs,17,,9,,9,,7,,7,,8,,2,,9,,8,,0,,0, 76 ,Customs
Folklore,16,,11,,12,,13,,12,,9,,4,,12,,13,,0,,0, 102 ,Folklore
Customs Of War,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Customs Of War
Language,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Language
Linguistics,82,,48,,60,,84,,102,,26,,1,,68,,65,,0,,0, 536 ,Linguistics
Science,21,,20,,22,,26,,22,,22,,7,,20,,21,,0,,0, 181 ,Science
Mathematics,41,,15,,17,,29,,31,,12,,2,,19,,18,,0,,0, 184 ,Mathematics
Astronomy,37,,36,,17,,29,,15,,18,,7,,23,,29,,0,,0, 211 ,Astronomy
Planets,15,,10,,5,,9,,12,,4,,2,,5,,7,,0,,0, 69 ,Planets
Physics,32,,25,,23,,30,,26,,22,,4,,25,,26,,0,,0, 213 ,Physics
Chemistry,2,,2,,2,,4,,3,,3,,0,,5,,2,,0,,0, 23 ,Chemistry
Earth Sciences,19,,10,,13,,20,,16,,10,,1,,13,,9,,0,,0, 111 ,Earth Sciences
Surface Processes,33,,21,,21,,30,,21,,19,,1,,19,,23,,0,,0, 188 ,Surface Processes
Paleontology,1,,1,,1,,2,,1,,1,,0,,1,,1,,0,,0, 9 ,Paleontology
Dinosaurs,18,,12,,10,,17,,11,,11,,3,,12,,10,,0,,0, 104 ,Dinosaurs
Life Sciences,48,,25,,36,,44,,40,,24,,6,,37,,21,,0,,0, 281 ,Life Sciences
Plants,5,,2,,3,,4,,4,,2,,0,,2,,2,,0,,0, 24 ,Plants
Animals,117,,80,,87,,92,,86,,53,,23,,96,,73,,0,,0, 707 ,Animals
Technology,6,,3,,2,,2,,8,,4,,1,,2,,3,,0,,0, 31 ,Technology
Medical Sciences,41,,16,,26,,33,,16,,17,,2,,26,,19,,0,,0, 196 ,Medical Sciences
Promotion Of Heal,211,,139,,177,,226,,144,,107,,43,,211,,182,,0,,0," 1,440 ",Promotion Of Heal
Disease,70,,29,,23,,52,,47,,19,,7,,47,,33,,0,,0, 327 ,Disease
Medical Specialti,16,,6,,10,,17,,9,,6,,1,,14,,13,,0,,0, 92 ,Medical Specialti
Engineering,9,,11,,13,,13,,15,,11,,1,,9,,11,,0,,0, 93 ,Engineering
Civil Engineering,9,,2,,4,,8,,5,,5,,2,,0,,4,,0,,0, 39 ,Civil Engineering
Hydraulic Enginee,20,,4,,5,,9,,5,,2,,5,,3,,5,,0,,0, 58 ,Hydraulic Enginee
Aerospace Enginee,109,,32,,32,,75,,36,,24,,15,,35,,35,,0,,0, 393 ,Aerospace Enginee
Agriculture,10,,9,,5,,15,,7,,8,,2,,5,,4,,0,,0, 65 ,Agriculture
Gardening,3,,4,,4,,9,,3,,4,,1,,5,,6,,0,,0, 39 ,Gardening
Animal Husbandry,22,,12,,20,,19,,17,,14,,3,,28,,10,,0,,0, 145 ,Animal Husbandry
"Hunting, Fishing",1,,0,,0,,0,,1,,1,,0,,0,,1,,0,,0, 4 ,"Hunting, Fishing"
Home Economics,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0, 1 ,Home Economics
Food & Drink,40,,26,,25,,16,,18,,16,,10,,31,,23,,0,,0, 205 ,Food & Drink
Meals & Table Ser,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Meals & Table Ser
Household Managem,21,,7,,14,,9,,4,,11,,0,,14,,4,,0,,0, 84 ,Household Managem
Hotel Management,2,,0,,3,,0,,4,,0,,0,,2,,0,,0,,0, 11 ,Hotel Management
Child Rearing,22,,13,,17,,23,,29,,14,,3,,10,,18,,0,,0, 149 ,Child Rearing
Management,4,,0,,1,,4,,3,,0,,0,,1,,4,,0,,0, 17 ,Management
Office Services,1,,0,,0,,0,,2,,0,,0,,2,,0,,0,,0, 5 ,Office Services
General Managemen,2,,0,,1,,1,,2,,0,,0,,0,,0,,0,,0, 6 ,General Managemen
Advertising,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Advertising
Chemical Engineer,1,,1,,1,,2,,2,,2,,1,,1,,1,,0,,0, 12 ,Chemical Engineer
Manufacturing,3,,2,,2,,3,,2,,3,,0,,3,,2,,0,,0, 20 ,Manufacturing
Specific Manufact,0,,0,,1,,1,,1,,1,,0,,1,,0,,0,,0, 5 ,Specific Manufact
Hardware & Househ,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Hardware & Househ
Furnishings / Hom,1,,1,,1,,2,,3,,0,,0,,1,,1,,0,,0, 10 ,Furnishings / Hom
Leather & Fur Pro,2,,2,,2,,1,,2,,1,,1,,2,,2,,0,,0, 15 ,Leather & Fur Pro
Clothing,2,,1,,2,,2,,3,,1,,1,,2,,2,,0,,0, 16 ,Clothing
Buildings,6,,3,,8,,11,,3,,1,,0,,6,,4,,0,,0, 42 ,Buildings
Carpentry,4,,3,,6,,5,,3,,0,,0,,2,,5,,0,,0, 28 ,Carpentry
The Arts,18,,5,,9,,12,,19,,3,,2,,22,,3,,0,,0, 93 ,The Arts
Civic & Landscape,0,,3,,2,,3,,0,,1,,0,,2,,1,,0,,0, 12 ,Civic & Landscape
Architecture,7,,6,,7,,5,,2,,6,,1,,5,,3,,0,,0, 42 ,Architecture
Sculpture,4,,1,,2,,3,,1,,1,,1,,4,,0,,0,,0, 17 ,Sculpture
Numismatics,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Numismatics
Ceramic Art,1,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0, 4 ,Ceramic Art
Drawing,18,,9,,7,,11,,5,,6,,1,,6,,6,,0,,0, 69 ,Drawing
Handicrafts,3,,4,,2,,2,,2,,4,,1,,8,,4,,0,,0, 30 ,Handicrafts
Textile Arts,17,,6,,13,,21,,14,,7,,2,,15,,9,,0,,0, 104 ,Textile Arts
Interior Decorati,2,,1,,1,,1,,1,,0,,0,,1,,0,,0,,0, 7 ,Interior Decorati
Painting,36,,25,,10,,16,,24,,7,,2,,42,,7,,0,,0, 169 ,Painting
Graphic Arts,2,,1,,1,,0,,0,,1,,0,,1,,1,,0,,0, 7 ,Graphic Arts
Photography,13,,2,,1,,4,,9,,1,,1,,6,,5,,0,,0, 42 ,Photography
Music,150,,89,,98,,161,,158,,56,,17,,129,,67,,0,,0, 925 ,Music
Instrumental Musi,2,,0,,4,,0,,3,,5,,0,,0,,3,,0,,0, 17 ,Instrumental Musi
Ensembles,21,,14,,31,,28,,25,,9,,2,,24,,26,,0,,0, 180 ,Ensembles
Recreational / Pe,1,,1,,5,,2,,1,,1,,0,,1,,2,,0,,0, 14 ,Recreational / Pe
"Movies, Radio, Tv",31,,7,,17,,19,,16,,11,,2,,19,,10,,0,,0, 132 ,"Movies, Radio, Tv"
Stage Presentatio,27,,15,,17,,25,,24,,16,,3,,20,,15,,0,,0, 162 ,Stage Presentatio
Indoor Games,8,,6,,14,,17,,14,,9,,1,,14,,11,,0,,0, 94 ,Indoor Games
Indoor Games Of S,5,,4,,1,,3,,0,,1,,0,,3,,3,,0,,0, 20 ,Indoor Games Of S
Athletic / Outdoo,51,,32,,53,,69,,50,,19,,7,,40,,28,,0,,0, 349 ,Athletic / Outdoo
Aquatic Sports,5,,2,,4,,2,,6,,2,,0,,4,,2,,0,,0, 27 ,Aquatic Sports
Equestrian Sports,3,,2,,0,,2,,1,,1,,1,,2,,0,,0,,0, 12 ,Equestrian Sports
"Fishing, Hunting,",2,,1,,4,,2,,1,,0,,1,,7,,4,,0,,0, 22 ,"Fishing, Hunting,"
Literature,3,,3,,3,,3,,3,,3,,0,,3,,3,,0,,0, 24 ,Literature
Rhetoric,56,,23,,24,,25,,37,,17,,3,,35,,16,,0,,0, 236 ,Rhetoric
Geography & Histo,7,,1,,6,,12,,11,,0,,0,,4,,7,,0,,0, 48 ,Geography & Histo
Geography & Trave,27,,16,,21,,26,,16,,10,,9,,31,,12,,0,,0, 168 ,Geography & Trave
Europe,55,,29,,36,,58,,33,,38,,9,,43,,33,,0,,0, 334 ,Europe
Asia,55,,16,,14,,32,,31,,15,,3,,20,,21,,0,,0, 207 ,Asia
Africa,12,,3,,5,,6,,4,,6,,0,,6,,0,,0,,0, 42 ,Africa
North America,40,,25,,21,,93,,34,,28,,3,,49,,19,,0,,0, 312 ,North America
South America,7,,3,,4,,6,,7,,4,,1,,7,,1,,0,,0, 40 ,South America
Other Areas,18,,7,,13,,18,,10,,11,,5,,16,,10,,0,,0, 108 ,Other Areas
Genealogy,8,,11,,0,,2,,1,,0,,0,,3,,0,,0,,0, 25 ,Genealogy
Ancient History,19,,26,,12,,10,,15,,9,,2,,30,,16,,0,,0, 139 ,Ancient History
European History,29,,29,,32,,37,,41,,15,,3,,53,,16,,0,,0, 255 ,European History
British History,20,,10,,10,,24,,9,,10,,2,,20,,10,,0,,0, 115 ,British History
Central European,4,,4,,5,,8,,3,,1,,1,,11,,4,,0,,0, 41 ,Central European
French History,2,,1,,2,,1,,1,,2,,0,,1,,1,,0,,0, 11 ,French History
Italian History,3,,1,,1,,2,,1,,0,,0,,2,,2,,0,,0, 12 ,Italian History
Spanish History,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Spanish History
Russian History,4,,3,,2,,1,,3,,0,,0,,1,,0,,0,,0, 14 ,Russian History
Scandinavian Hist,6,,2,,5,,4,,4,,1,,1,,3,,3,,0,,0, 29 ,Scandinavian Hist
Asian History,15,,5,,6,,4,,4,,1,,0,,7,,3,,0,,0, 45 ,Asian History
Japanese History,0,,2,,1,,1,,1,,0,,0,,1,,0,,0,,0, 6 ,Japanese History
Indian History,17,,8,,9,,13,,8,,7,,2,,5,,16,,0,,0, 85 ,Indian History
Siberian History,1,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0, 2 ,Siberian History
Central Asian His,2,,1,,3,,0,,0,,1,,0,,0,,1,,0,,0, 8 ,Central Asian His
South East Asian,8,,5,,1,,7,,3,,3,,0,,10,,0,,0,,0, 37 ,South East Asian
African History,9,,2,,1,,7,,4,,1,,1,,7,,3,,0,,0, 35 ,African History
North American Hi,9,,5,,6,,5,,4,,4,,1,,6,,4,,0,,0, 44 ,North American Hi
Canadian History,18,,23,,9,,23,,23,,9,,2,,13,,16,,0,,0, 136 ,Canadian History
Mexican History,4,,2,,2,,1,,4,,3,,0,,6,,2,,0,,0, 24 ,Mexican History
U.S. Pacific Slop,50,,23,,19,,44,,22,,7,,1,,24,,13,,0,,0, 203 ,U.S. Pacific Slop
South American Hi,3,,1,,1,,0,,2,,0,,0,,0,,2,,0,,0, 9 ,South American Hi
Other Areas Histo,3,,1,,0,,1,,2,,0,,1,,1,,3,,0,,0, 12 ,Other Areas Histo
Extraterrestrial,571,,214,,236,,521,,460,,179,,64,,458,,291,,0,,0," 2,994 ",Extraterrestrial
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities
Philosophy,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Philosophy
Religion,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Religion
Social Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Social Sciences
Language,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Language
Science,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Science
Technology,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Technology
The Arts,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,The Arts
Literature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Literature
Geography & Histo,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0, 1 ,Geography & Histo
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,3093,,1598,,1764,,2751,,2316,,1230,,360,,2407,,1711,,0,,0," 17,230 ",Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t vfddc (,,t vfddc (,,t vfddc (,,t vfddc (,,t vfddc (,,t vfddc (,,t vfddc (,,t vfddc (,,t vfddc (,,t vfddc (,,t vfddc (, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t ybddc (,,t ybddc (,,t ybddc (,,t ybddc (,,t ybddc (,,t ybddc (,,t ybddc (,,t ybddc (,,t ybddc (,,t ybddc (,,t ybddc (, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,43,,21,,56,,105,,67,,12,,2,,64,,31,,0,,0, 401 ,Generalities
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,43,,21,,56,,105,,67,,12,,2,,64,,31,,0,,0, 401 ,Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t yddc (D,,t yddc (D,,t yddc (D,,t yddc (D,,t yddc (D,,t yddc (D,,t yddc (D,,t yddc (D,,t yddc (D,,t yddc (D,,t yddc (D, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,12,,4,,5,,12,,6,,1,,0,,6,,5,,0,,0, 51 ,Generalities
Journalism,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0, 1 ,Journalism
Philosophy,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0, 1 ,Philosophy
Paranormal,2,,2,,7,,12,,4,,1,,0,,6,,3,,0,,0, 37 ,Paranormal
Psychology,47,,23,,29,,79,,41,,11,,4,,32,,23,,0,,0, 289 ,Psychology
Logic & Ethics,7,,1,,0,,12,,5,,0,,0,,3,,3,,0,,0, 31 ,Logic & Ethics
Oriental Philosop,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Oriental Philosop
Modern Western Ph,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Modern Western Ph
Religion,4,,1,,2,,4,,2,,0,,0,,2,,1,,0,,0, 16 ,Religion
